时间,博主,内容,点赞,转发,评论,分词
"
                        2022年05月31日 17:40
                        ",好运不走丢啦,"
 钟薛高是真的非常好吃 我是小朋友请给我/ :虽然说出来离谱，可我不一直是宝吗？ 要是能重来，回到小时候，我要多吃 ，感觉吃了能长高~ ",赞, , 评论,钟薛高 真的 好吃 小朋友 离谱 重来 回到 小时候 感觉 能长
"
                        2022年05月31日 17:39
                        ",国庆自驾游,"
 钟薛高吃起来，没有宝会不喜欢/ :虽然说出来离谱，可我不一直是宝吗？ 要是能重来，回到小时候，我要多吃 ，感觉吃了能长高~ ",赞, , 评论,钟薛高 宝会 喜欢 离谱 重来 回到 小时候 感觉 能长
"
                        2022年05月31日 17:36
                        ",芒椰小丸子very好喝,"
 钟薛高这么贵不得拍个照记录一下吗 ​ ",3, , 5,钟薛高 记录
"
                        2022年05月31日 17:36
                        ",月亮邮递员0_o,"
 美滋 ​ ",赞, , 评论,美滋
"
                        2022年05月31日 17:25
                        ",渣蜀黍,"
 虽然说出来离谱，可我不一直是宝吗？ 要是能重来，回到小时候，我要多吃 ，感觉吃了能长高~ ",558, , 676,离谱 重来 回到 小时候 感觉 能长
"
                        2022年05月31日 17:23
                        ",写字的是咪呀,"
 钟薛高在五月最后一天还是无法得到我的原谅，凭啥子十几二十一根？ ​ ",赞, , 6,钟薛高 五月 原谅 啥子 十几 二十 一根
"
                        2022年05月31日 16:55
                        ",卖房子的余,"
 6的快乐… 在于复工的消息～ 也在于同事小姐给的6礼物 ​ ",赞, , 1,快乐 复工 消息 同事 小姐 礼物
"
                        2022年05月31日 16:46
                        ",品牌星球Brandstar,"
 近日，茅台与蒙牛合作推出了含有茅台酒的「茅台冰淇淋」，定价在 39 元至 9 元区间。当天线上销售额达到 250 万元，4 万个冰淇淋全部售罄。 尽管消费者在社交媒体上抱怨「雪糕越来越贵」了，品牌星球却关注到，中外大集团在加大对中高端产品的投入。这也释放出明确的信号，消费升级已经成为雪糕行业 ​ ",赞, , 评论,近日 茅台 蒙牛 合作 推出 含有 茅台酒 茅台 冰淇淋 定价 区间 天线 销售额 万元 万个 冰淇淋 售罄 消费者 社交 媒体 抱怨 雪糕 越来越 品牌 星球 关注 中外 集团 加大 高端 产品 投入 释放 信号 消费 升级 雪糕 行业
"
                        2022年05月31日 16:27
                        ",麻哈么么,"
 钟薛高真的 ，打乱雪糕市场 巧乐兹都卖5块了 你烦不烦啊 ​ ",1, , 10,钟薛高 真的 打乱 雪糕 市场 巧乐兹 不烦
"
                        2022年05月31日 16:22
                        ",辣妈宝藏团,"
 🔻时间会改变我们很多习惯，但是夏天吃冰这件事例外。身处在蒸笼般的都市丛林中，困乏的午后，咬一口雪糕就能让人恢复元气，那种痛快劲儿就还像孩童时那般直接。 🔻在炎夏日来一个中式“瓦片雪糕”—钟薛高雪糕，那感觉别提有多棒啦！ 优质原料：好的口味来源于好的食材原料，钟 ​ ",赞, , 1,时间 改变 习惯 夏天 这件 例外 身处 蒸笼 都市 丛林中 困乏 午后 咬一口 雪糕 恢复元气 那种 痛快 劲儿 孩童 炎夏 中式 瓦片 雪糕 钟薛高 雪糕 感觉 别提 优质 原料 口味 来源于 食材 原料
"
                        2022年05月31日 15:41
                        ",用户2022520017,"
 今日快乐一：上海终于解封了 宝子的夜休就是我的美丽心情日。 今日快乐二：扫荡了超市，冷饮塞满了冰箱和冰柜。，钟薛高。 ​ ",1, , 评论,今日 快乐 上海 终于 解封 宝子 夜休 美丽 心情 今日 快乐 扫荡 超市 冷饮 塞满 冰箱 冰柜 钟薛高
"
                        2022年05月31日 15:27
                        ",是瓶籽,"
 钟薛高为什么那么贵… ​ ",赞, , 评论,钟薛高
"
                        2022年05月31日 15:20
                        ",搁浅不了的星空晴,"
 奖励自己一只冰激凌： 钟薛高～海盐椰子口味。 ​ ",赞, , 评论,奖励 一只 冰激凌 钟薛高 海盐 椰子 口味
"
                        2022年05月31日 14:54
                        ",翩翩公子撸撸撸,"
 钟薛高 杨梅奶冰 杨梅冰加雪糕.里面的杨梅像蛆一样黏在我的牙上.价格来说我愿意直接买那个杨梅汁冻。 ​ ",赞, , 评论,钟薛高 杨梅 奶冰 杨梅 冰加 雪糕 杨梅 黏在 价格 杨梅汁
"
                        2022年05月31日 14:40
                        ",字黄枫,"
 钟薛高 少年系列 五大新口 【15え】 ​ ",赞, , 1,钟薛高 少年 系列 五大 新口
"
                        2022年05月31日 14:07
                        ",巴啦啦倩小仙,"
 钟薛高海盐椰，我觉得太甜了，还是巧克力的好吃～ ​ ",1, , 1,钟薛高 海盐 巧克力 好吃
"
                        2022年05月31日 13:36
                        ",终日饱食而遨游,"
 🔸我的人生哲学是有时候会把别人吓到的程度 从另一个角度还是挺爽的哈 🔹买了一株芍药看着慢开真的好幸福啊🙊 🔸钟薛高也就那样了…但是让我觉得自己的愿望都是可以被满足的 🔹我炒出来的东西小冯常规地非常给面子 “只剩了大蒜和姜”“ ​ ",5, , 5,人生哲学 有时候 吓到 程度 角度 挺爽 一株 芍药 看着 真的 幸福 钟薛高 愿望 东西 常规 给面子 大蒜
"
                        2022年05月31日 13:22
                        ",鲁班鲁班鲁班班,"
 开始搬砖[成人礼]沾燕子的光，暂时实现了钟薛高自由 ​ ",1, , 1,成人礼 燕子 暂时 钟薛高 自由
"
                        2022年05月31日 12:29
                        ",Yoogiixx,"
 问，钟薛高到底是什么味？ ​ ",赞, , 1,钟薛高
"
                        2022年05月31日 12:29
                        ",或他或你,"
 感谢我亲爱的小朋友让我在这个夏天实现了钟薛高自由 ​ ",4, , 10,感谢 亲爱 小朋友 夏天 钟薛高 自由
"
                        2022年05月31日 12:12
                        ",風抖落了晔_860,"
 钟薛高 冰淇淋雪糕 10片 170 起风的日子学会随风起舞，下雨的时候学会自己撑伞，生活有望穿秋水的等待，也会有柳暗花明的惊喜。 ​ ",赞, , 1,钟薛高 冰淇淋 雪糕 起风 日子 学会 随风 起舞 下雨 学会 撑伞 生活 望穿秋水 等待 柳暗花明 惊喜
"
                        2022年05月31日 11:44
                        ",上海吃喝玩乐播报,"
 【钟薛高】一个都不能少10片+赠2片，12入 ​ ",赞, , 1,钟薛高
"
                        2022年05月31日 11:23
                        ",小豆子推荐,"
 钟薛高 冰淇淋 10支 131 人生就像一座山，重要的不是它的高低，而在于灵秀；人生就像一场雨，重要的不是它的大小，而在于及时。 ​ ",赞, , 3,钟薛高 冰淇淋 人生 一座 灵秀 人生 一场 大小
"
                        2022年05月31日 11:23
                        ",微博时尚排行榜,"
 【钟薛高】一个都不能少10片+赠2片，12入 ​ ",赞, , 1,钟薛高
"
                        2022年05月31日 11:00
                        ",海淘帮帮主,"
 【预售付定金】线下一支18！付定加赠2支！ 【131】钟薛高 盐夏日系列 高端雪糕10支+赠2支 戳： 凑满减低至107，折合8/支！内含：草莓白巧*1+干酪*1+特牛乳*2+可*1+黑金*1+茉莉*1+半巧主义*2+芝士草莓*1。 雪糕界的“爱马仕”！继中街1942之后又一网红冰激凌力作！中国风 ​ ",17, , 11,预售 付定金 线下 一支 付定 加赠 钟薛高 夏日 系列 高端 雪糕 凑满 减低 折合 内含 草莓 白巧 干酪 牛乳 黑金 茉莉 半巧 主义 芝士 草莓 雪糕 爱马仕 中街 冰激凌 力作 中国
"
                        2022年05月31日 10:59
                        ",Bwkkkyia,"
 虽然我很讨厌草莓味的东西也很讨厌白巧但是钟薛高的草莓白巧味好吃 ​ ",2, , 评论,讨厌 草莓 东西 讨厌 白巧 钟薛高 草莓 白巧味 好吃
"
                        2022年05月31日 10:23
                        ",山高月小·,"
 钟薛高都是水果口味儿？价格有点子虚啊… ​ ",赞, , 评论,钟薛高 水果 口味 价格 子虚
"
                        2022年05月31日 09:38
                        ",o羊七七o,"
 钟薛高 冰淇淋 10支 131 也许。正是由于有了你，世界才增添了一份颜色，你要英勇地时本人说：“我很重要，我就是一道景色。” ​ ",赞, , 3,钟薛高 冰淇淋 也许 世界 增添 一份 颜色 英勇 地时 一道 景色
"
                        2022年05月31日 08:40
                        ",giaogiao在上_,"
 钟薛高 冰淇淋 10支 131 而糊涂的人，计较得少，虽然活得简单粗糙，却因此觅得了人生的大滋味。 ​ ",赞, , 3,钟薛高 冰淇淋 糊涂 计较 得少 简单 粗糙 觅得 人生 滋味
"
                        2022年05月31日 06:18
                        ",李佳琦薇娅每日的直播预告,"
 中街1946 冰淇淋 12支 126 钟薛高 冰淇淋 10支 170 蒙牛 蒂兰圣雪 冰淇淋 16杯 85 生活上有一个重要的原则，就是千万不要去跟别人比较，也不要与人计较。 ​ ",赞, , 1,中街 冰淇淋 钟薛高 冰淇淋 蒙牛 蒂兰 冰淇淋 生活 原则 计较
"
                        2022年05月31日 01:57
                        ",tina罗小贝,"
 最夏天的味道当然是钟薛高的各种口味的味道啦 ",赞, , 评论,夏天 味道 钟薛高 口味 味道
"
                        2022年05月31日 01:42
                        ",叮叮捡漏,"
 钟薛高 冰淇淋 10支 131 生活不是让你用来妥协的。你退缩得越多，那么可以让你喘息的空间也就是越少。 ​ ",赞, , 3,钟薛高 冰淇淋 生活 妥协 退缩 越多 喘息 空间
"
                        2022年05月31日 00:08
                        ",o羊七七o,"
 钟薛高 冰淇淋 10支 131 天赋还比你高的人，他们早已在晨曦中跑向那个你永远只能瞭望的远方。不要在最能享乐的时分选择闲适。 ​ ",赞, , 3,钟薛高 冰淇淋 天赋 早已 晨曦 永远 只能 瞭望 远方 享乐 时分 选择 闲适
"
                        54分钟前
                        ",韩国me2day,"
 【】旧专再贩一位销量很高的原因： -这张专辑每个成员的小卡都很漂亮 -甚至小卡都有“名字”（成员们也知道粉丝起的名字） ​ ",12399, , 1838,专再 一位 销量 很高 原因 专辑 成员 小卡 很漂亮 小卡 名字 成员 粉丝 名字
"
                        50分钟前
                        ",猫的树Cattree,"
 今天分享一句学生时代最爱的歌词 选两个小伙伴各送一张片尾拍立得 ​ ",19047, , 27166,分享 一句 学生 时代 最爱 歌词 两个 小伙伴 一张 片尾 立得
"
                        2022年06月02日 21:55
                        ",安安安安安安晴晴,"
 终于搓上澡了 钟薛高本来就贵 搁澡堂子里更贵 ​ ",4, , 评论,终于 上澡 钟薛高 本来 澡堂子
"
                        2022年06月02日 21:43
                        ",manmanfhm,"
 钟薛高 冰淇淋 10支 131 如果你和谁在一起感觉非常开心，好珍惜他。现实生活中没有那么多开心的事，他为了你隐藏了自己的不开心。 ​ ",赞, , 1,钟薛高 冰淇淋 感觉 开心 珍惜 现实生活 开心 隐藏 开心
"
                        2022年06月02日 21:41
                        ",blueFormula,"
 钟薛高 ú给你的勇气卖十几块一支 ​ ",赞, , 评论,钟薛高 勇气 十几块 一支
"
                        2022年06月02日 21:40
                        ",曼巴电影,"
 钟薛高经典款懂你系列特牛乳4可4干酪2冰淇淋雪糕冰牛奶巧克力 【现价】 151 元 【券后价】 143 元 【优惠券】 8 元 ​ ",赞, , 评论,钟薛高 经典 系列 牛乳 干酪 冰淇淋 雪糕 冰牛奶 巧克力 现价 券后 优惠券
"
                        2022年06月02日 21:26
                        ",小啊闹_,"
 的西红柿盖饭 ​ ",赞, , 1,西红柿 盖饭
"
                        2022年06月02日 21:06
                        ",今天可以摸鱼吗kk,"
 钟薛高是我心中的 ​ ",赞, , 4,钟薛高 心中
"
                        2022年06月02日 20:49
                        ",XXiQian_4,"
 海峰蛋挞✅（海峰的东西我还是慢吃吧 散步前甜点吃了一点 本来就想吃一盒蛋挞 然后买了法式魔烧（我觉得就是红豆酥饼）还有特产绿豆糕 明天能泡水和奶了^_^解暑神器 钟薛高这个可味我觉得就是普通巧克力雪糕 红豆酥饼是因为现烤的在当天七点后就七五折才买的 第一次吃 红豆沙馅 花生酥外壳 还不是 ​ ",2, , 2,海峰 海峰 东西 慢吃 散步 甜点 一点 本来 一盒 法式 红豆 酥饼 特产 绿豆糕 明天 泡水 解暑 神器 钟薛高 可味 巧克力 雪糕 红豆 酥饼 是因为 现烤 当天 七点 七五折 第一次 豆沙 花生 外壳
"
                        2022年06月02日 20:36
                        ",7nceeee,"
 打工日记🐛🎬 打工虽苦 好在同事都很可爱 昨天公司冰柜居然出现了钟薛高！ ​ ",4, , 评论,打工 日记 打工 同事 可爱 昨天 公司 冰柜 钟薛高
"
                        2022年06月02日 19:15
                        ",SNOW_ShErr1,"
 钟薛高，真蛮好吃的 ​ ",1, , 2,钟薛高 真蛮 好吃
"
                        2022年06月02日 18:33
                        ",REAL舞蹈工作室,"
 选拔赛-成都站，即将开启！成都舞室成为首批战马认证街舞俱乐部，将于6月18日举办 专场赛事！ 在端午佳节到来之际，我们又给大家送礼啦！在 ，可以参与礼品抽奖活动🎁～悄透露下：抽取的五名幸运儿将获得一整箱🍦 ，直 ​ ",赞, , 评论,选拔赛 成都 开启 成都 舞室 首批 战马 认证 街舞 俱乐部 举办 专场 赛事 端午 佳节 到来之际 送礼 参与 礼品 抽奖 活动 透露 抽取 五名 幸运儿 整箱
"
                        2022年06月02日 18:10
                        ",I八九I,"
 钟薛高·轻牛乳 18💰 ​适合不喜欢吃太甜的，没有那种廉价的糖精感，奶味非常浓郁，口感醇厚，有钱的朋友可冲！ ​ ",6, , 6,钟薛高 牛乳 适合 喜欢 那种 廉价 糖精 奶味 浓郁 口感 醇厚 有钱 朋友 可冲
"
                        2022年06月02日 18:06
                        ",Guo-CY,"
 钟薛高 冰淇淋 10支 131 成熟，不是你能用很多大道理去开导别人，而是你能说服自己去理解身边的人和事 ​ ",赞, , 1,钟薛高 冰淇淋 成熟 大道理 开导 说服 理解 身边 人和事
