screen_name,location,created_time,text
神妙_莲学_启蒙ING,山西,Wed Oct 25 10:40:17  2023,“长达9天”？给我逗笑了
小妖洛黛,北京 朝阳区,Wed Oct 25 10:40:09  2023,这是什么“人间新闻”？我的大龙年！
咋啦大可颂,广东,Wed Oct 25 10:38:08  2023,我不上班都替大家感到生气💢
MM宁馨,北京,Wed Oct 25 10:31:56  2023,除夕不在家还过什么年啊
Carrier刘溢,其他,Wed Oct 25 10:30:52  2023,年夜饭吃不到了，联欢晚会也没工夫看了吧[跪了]三十下了班得赶着坐高铁回家
L矫情死了,黑龙江 哈尔滨,Wed Oct 25 10:29:01  2023,呸
来杯香烤杏仁拿铁,其他,Wed Oct 25 10:27:34  2023,[费解]
常_新,四川 成都,Wed Oct 25 10:17:13  2023,年假休完了怎么办[doge][doge]
我向往月亮,其他,Fri Oct 27 18:34:51  2023,啊对对，除夕当天不放假，外地打工回不来。
原原非非,云南,Fri Oct 27 09:03:14  2023,该解决的不解决，该算计的一点不落
千杯镯酒,其他,Thu Oct 26 23:08:27  2023,欢乐哪欢乐了，苦的永远是打工人人才调休
