评论内容,fenci,主题概率,主题类型
服务很好，体验也很棒,体验 很棒,"[(0, 0.023809915), (1, 0.02380996), (2, 0.023809914), (3, 0.023809956), (4, 0.023809893), (5, 0.023809949), (6, 0.023810003), (7, 0.023810005), (8, 0.023810009), (9, 0.023810294), (10, 0.69047), (11, 0.023810042), (12, 0.023809971), (13, 0.023810092)]",10
外部环境不错,外部环境 不错,"[(0, 0.023811689), (1, 0.023811677), (2, 0.023811726), (3, 0.023811793), (4, 0.023811664), (5, 0.023811724), (6, 0.023811786), (7, 0.023811782), (8, 0.69044644), (9, 0.023811745), (10, 0.023811694), (11, 0.023811895), (12, 0.023811717), (13, 0.02381267)]",8
房间比较小，干湿分离不到位，洗完澡满屋子都是水，洗澡的跟厕所是一起的，没有隔开的门，环境卫生都还可以，最不满意可以就是入住就降价，特别恶心人，离地铁站1公里，走路有点远，打车不划算，还行吧，入住就降价，真的很不舒服。,房间 干湿 分离 到位 洗完 洗澡 厕所 隔开 环境卫生 满意 入住 降价 恶心 地铁站 走路 打车 还行 入住 降价 舒服,"[(0, 0.95577866)]",0
房间干净整洁，而且还有新的冰箱和洗衣机居住体验比宾馆好太多了，入住也很方便，微信客服也很好。 这次随机顶到了双床房，有两个房间，虽然另外一个房间用不上。,房间 干净 整洁 冰箱 洗衣机 居住 体验 宾馆 入住 客服 双床 房间 房间,"[(0, 0.9336697)]",0
非常不错啊，连住2晚，性价比高，下次一定再来。我家二个孩子都非常喜欢，儿子更是天天叫我住多一晚，但我已要回来上班，不然一定如他意。已推荐朋友已订房，女儿也说大学室友来住，非常好，特喜窗外景见上图，室内与宣传的一致。,不错 连住 性价比 孩子 喜欢 儿子 回来 上班 推荐 朋友 已订 女儿 大学 室友 来住 特喜 见上图,"[(11, 0.9484056)]",11
设施：很齐全很大住着很舒服，和宣传图一模一样，完全不踩雷 卫生：入住卫生做的很好，不过续住卫生做的不太行，住了五天就弄了一次，不过没啥影响，都这个价位了要啥自行车 环境：外景特别好看，房间很大，我们是四个人来长沙穷游的，床很大完全够睡，房间投影仪用手机投屏特别舒服，每天晚上四个人当小型电影院看电影 服务：前台服务很好，楼下保安也很热情，唯一不好的就是阿姨老忘记搞卫生了 总结一下，来长沙玩我首推这个地方了，已经推荐给朋友了，离地铁也不远风景也好看，而且这个价位秒杀一切300元以下的酒店了，我是找了三天才找到的这个宝藏民宿，家人们看到我这个评价无脑冲就行了！ 房间图片忘了拍了，拍的时候都是有人在床上躺着的，就发发外景吧！,设施 很大 舒服 卫生 入住 卫生 很好 续住 卫生 价位 了要 自行车 环境 外景 好看 房间 很大 穷游 很大 房间 投影仪 手机 投屏 舒服 电影院 电影 前台 热情 忘记 卫生 地方 推荐 朋友 地铁 风景 好看 价位 秒杀 酒店 找到 民宿 评价 无脑 房间 图片 床上 发发 外景,"[(12, 0.9810477)]",12
环境介绍：交通方便，出门地铁打车都方便布局/房型：这要大大的夸一下，房间明亮，布局合理，性价比超高设施服务：大屏幕投影，超大玻璃窗，冰箱，洗衣机，应有尽有周边游：橘子州，五一广场都很方便前台有个很可爱的小姐姐，人美心善，服务超棒,环境 介绍 交通 出门 地铁 打车 布局 房型 房间 明亮 布局合理 性价比 超高 设施 投影 超大 玻璃窗 冰箱 洗衣机 橘子 前台 可爱 心善 超棒,"[(9, 0.96285385)]",9
挺无语的就 本来就是来旅游的 随便挑了一个酒店 地理位置还是挺好的 入住周六 玩了一天 早上6点才睡  结果一大清早的9点钟  楼下又是砸墙又是打电钻的 装修的还不止一家  瞬间什么心情都没有了,酒店 地理位置 入住 电钻 装修 心情,"[(0, 0.010204585), (1, 0.010204592), (2, 0.0102045825), (3, 0.010204593), (4, 0.010204553), (5, 0.010204564), (6, 0.010204578), (7, 0.010204595), (8, 0.010204568), (9, 0.0102046095), (10, 0.86734056), (11, 0.010204565), (12, 0.010204526), (13, 0.010204541)]",10
这家酒店设施齐全，房间干净卫生，前台服务周到，位于湖南财政经济学院周边，附近1公里分布有地铁站（2号线金星路站），出行十分方便，无论出差还是旅游，入住这里都很合适，给个好评！,酒店设施 房间 干净 卫生 前台 位于 财政 经济 学院 分布 地铁站 号线 路站 出行 出差 入住 合适 好评,"[(6, 0.14890291), (11, 0.80597717)]",11
到了之后真的太惊艳了，服务我觉得很好啊，小姐姐看我们行李多还帮忙拿，里面很干净，就是酒店不是很好找，但是骑个小黄车很快就能到地铁口，离景点都才几站直达，很喜欢，下次去还住他们家,惊艳 行李 帮忙 干净 酒店 好找 黄车 地铁口 景点 直达 喜欢,"[(8, 0.9226126)]",8
最近休假出来旅游，来长沙选择了这家酒店，别说真的很新设施都很好。有洗衣机冰箱而且都很新。而且价格也非常的便宜，人均一晚只要70左右。唯一的不足就是离地铁口稍微有点远，不过到处都是共享电动车这个我们可以接受。如果有需要的可以住哦～,休假 选择 酒店 设施 洗衣机 冰箱 价格 便宜 地铁口 共享 电动车 接受,"[(12, 0.9285597)]",12
酒店环境卫生没得话说，而且周环境也特别好，很干净，很安全。晚上出去散散步是一个不错的选择，我嘞个豆，除了距离五一广场有点远，简直没毛病,酒店 环境卫生 没得 环境 干净 散散步 不错 选择 个豆 距离 毛病,"[(3, 0.92259604)]",3
家人们房间超级好 可冲！！投影冰箱洗衣机都是可以使用的！！整体的环境也很好不存在安全隐患 我超爱,房间 可冲 投影 冰箱 洗衣机 整体 环境 超爱,"[(12, 0.8968144)]",12
设施：位置可以，比较好找 卫生：卫生可以，相对来说比较干净 环境：民宿区环境不错，周边配套设施完善 服务：客服人员很有耐心，凌晨也一直在线，有需求也马上解决。,设施 位置 好找 卫生 卫生 干净 环境 民宿 环境 不错 配套 设施 完善 客服 人员 耐心 需求 解决,"[(9, 0.49006706), (11, 0.4648167)]",9
房间很大，干净卫生安静，还有洗衣机。就是离地铁口远了一点，一公里多点。推荐入住,房间 很大 干净 卫生 洗衣机 地铁口 推荐 入住,"[(0, 0.8968222)]",0
可以观享梅溪湖，房间很大，有洗衣机冰箱抽油烟机，投影，物业保安很有责任，前台服务员态度好服务好！,房间 很大 洗衣机 冰箱 投影 物业 责任 前台 服务员 态度,"[(9, 0.91557807)]",9
超级棒！性价比很高！酒店环境也不错，有管家服务，离地铁口也不远，推荐！,性价比 酒店 环境 不错 管家 地铁口 推荐,"[(5, 0.3301748), (11, 0.56267875)]",11
比住市区好多了，设施很齐全，超级安静，适合玩累了第二天好好休息，大家记得商家送的停车券是只有12小时的哦，超出部分自己出钱，,比住 市区 设施 适合 玩累 休息 记得 商家 停车 券是 小时 超出 出钱,"[(2, 0.9336615)]",2
环境挺好，床睡的也很舒服，卫生也挺干净的，服务态度也特别好,环境 舒服 卫生 干净 服务态度,"[(0, 0.011904887), (1, 0.8452363), (2, 0.011904887), (3, 0.011904908), (4, 0.011904911), (5, 0.011904881), (6, 0.011904874), (7, 0.011904912), (8, 0.011904901), (9, 0.011904897), (10, 0.011904907), (11, 0.011904916), (12, 0.011904909), (13, 0.011904905)]",1
真的太满意了，旅馆很新，设施齐全，啥都有，小孩都不愿意走了，说还要继续住，第一次住了这么好的民宿，美中不足的话就是离市中心有点距离。,满意 旅馆 设施 小孩 民宿 市中心 距离,"[(3, 0.8839179)]",3
房间不错，干净卫生，风景也不错！,房间 不错 干净 卫生 风景 不错,"[(0, 0.010204268), (1, 0.010204464), (2, 0.010204244), (3, 0.01020427), (4, 0.010204254), (5, 0.010204231), (6, 0.010204238), (7, 0.010204258), (8, 0.010204264), (9, 0.010204254), (10, 0.0102042565), (11, 0.5047556), (12, 0.010204269), (13, 0.3727931)]",11
房间很不错 很干净  住着很舒心  还可以寄存行李,房间 不错 干净 舒心 寄存 行李,"[(0, 0.01020457), (1, 0.010204616), (2, 0.010204573), (3, 0.8673404), (4, 0.010204565), (5, 0.010204562), (6, 0.010204588), (7, 0.010204587), (8, 0.010204611), (9, 0.01020457), (10, 0.010204594), (11, 0.010204596), (12, 0.01020459), (13, 0.010204612)]",3
新装修的酒店 很干净！,酒店 干净,"[(0, 0.023809817), (1, 0.023809861), (2, 0.023809824), (3, 0.023809912), (4, 0.023809807), (5, 0.02380984), (6, 0.023809792), (7, 0.023809874), (8, 0.023809804), (9, 0.023809845), (10, 0.69047207), (11, 0.023809845), (12, 0.023809856), (13, 0.023809822)]",10
设施：齐全 卫生：干净 环境：好 服务：到位,设施 卫生 干净 环境 到位,"[(0, 0.011904897), (1, 0.011904945), (2, 0.011904911), (3, 0.0119049), (4, 0.011904885), (5, 0.011904882), (6, 0.011904876), (7, 0.01190489), (8, 0.011904897), (9, 0.011904902), (10, 0.011904885), (11, 0.011904938), (12, 0.8452363), (13, 0.0119049)]",12
房间宽敞，设施齐全。,房间 宽敞 设施,"[(0, 0.01785764), (1, 0.01785765), (2, 0.017857637), (3, 0.017857598), (4, 0.017857606), (5, 0.017857542), (6, 0.017857565), (7, 0.01785763), (8, 0.017857624), (9, 0.0178576), (10, 0.01785761), (11, 0.0178577), (12, 0.017857661), (13, 0.76785094)]",13
当初忘了拍照片 酒店可能因为在开发 楼底都是铺的塑料膜  我和我朋友都找不到 但是进入房间之后很好 有单独的棋牌室 有投影仪（投影有点歪）有大冰箱 也有大镜子（太高了 我和我朋友都挺矮 只能照到脑袋 我们必须要踩凳子） 除此之外没有什么意见,拍照片 酒店 开发 塑料膜 朋友 不到 房间 棋牌室 投影仪 投影 有大 冰箱 镜子 朋友 只能 脑袋 凳子 意见,"[(0, 0.9511224)]",0
房间非常干净整洁，装修很好，配套很齐全，洗衣机很方便，老板还给了很多晾衣架，3楼有个专门的晾衣间，很快就干了。套房的两个房间带上父母一起住宿非常棒！大房间的床意外的变成1米宽，惊喜！值得收藏，下回到长沙再去！,房间 干净 整洁 装修 配套 洗衣机 老板 还给 晾衣架 晾衣 套房 房间 带上 父母 住宿 房间 意外 惊喜 值得 收藏 回到,"[(3, 0.9577865)]",3
环境超级好，住的也舒服，不错,环境 舒服 不错,"[(0, 0.017857289), (1, 0.017857369), (2, 0.017857298), (3, 0.017857352), (4, 0.017857358), (5, 0.017857334), (6, 0.017857334), (7, 0.017857384), (8, 0.017857319), (9, 0.017857322), (10, 0.017857293), (11, 0.7678544), (12, 0.017857343), (13, 0.01785761)]",11
非常好 环境舒适,环境 舒适,"[(0, 0.0238099), (1, 0.69047284), (2, 0.023809757), (3, 0.02380978), (4, 0.02380976), (5, 0.023809759), (6, 0.02380973), (7, 0.023809753), (8, 0.023809772), (9, 0.023809737), (10, 0.023809783), (11, 0.023809828), (12, 0.023809839), (13, 0.023809737)]",1
不错不错不错不错,不错 不错 不错 不错,"[(0, 0.014285755), (1, 0.014285753), (2, 0.014285769), (3, 0.014285793), (4, 0.014285748), (5, 0.014285769), (6, 0.01428579), (7, 0.014285788), (8, 0.0142857805), (9, 0.014285775), (10, 0.014285757), (11, 0.014285827), (12, 0.014285766), (13, 0.8142849)]",13
在这家酒店定了两晚，第一天房间很重烟味，淋浴间下水道很堵，水流不下去，要求换房，告诉我满房，让我第二天换，第二天去景区，非要我两点之前回来换房，之前房间有问题是酒店的问题，却非让我两点之前回来，不然就不换了，景区也没玩完就赶回来换房……从来没遇到过这种强制条款的酒店，体验感很差，差评,酒店 房间 烟味 淋浴间 下水道 水流 告诉 满房 景区 回来 房间 酒店 回来 不换 景区 玩完 强制 条款 酒店 体验,"[(7, 0.9557762)]",7
很干净，很卫生，床单被套都很白，有洗衣机和冰箱，是出差旅行的干货，特别是大热天的喝口冰水，直接爽炸了，住了靠湖的那面，很安静的，在停车费贵炸了的长沙停车还免费，给120个赞,干净 卫生 床单 被套 洗衣机 冰箱 出差 干货 大热天 冰水 靠湖 停车费 停车,"[(0, 0.933668)]",0
设施：好，抽烟机冰箱都能用 卫生：很干净，有一次性拖鞋 环境：很不错，投影仪很清晰，还有个飘窗，外面起床景色清新 服务：好,设施 抽烟 冰箱 卫生 干净 拖鞋 环境 不错 投影仪 清晰 起床 景色 清新,"[(13, 0.93366563)]",13
房间很好，硬件设施也不错！ 面积大，舒适性和实用性都很强！ 性价比也很高！ 连住了4晚，还帮我们升级了房型，下次再来的话，还会继续选择,房间 硬件 设施 不错 面积 实用性 性价比 连住 房型 选择,"[(11, 0.9155754)]",11
设施：正齐，淋浴间下水道，下水比较慢没有干湿分离。 卫生：可以 环境：周围环境非常棒 服务：一般 总的评价还算比较合适出游住宿。,设施 淋浴间 下水道 下水 干湿 分离 卫生 环境 评价 合适 住宿,"[(8, 0.17145437), (12, 0.75710666)]",12
房间挺好的，卫生不错，环境好，服务一般，赠送的停车券只有12小时的时间，超过12小时后，一小时5元，周围没什么早餐店。适合全家出行。,房间 卫生 不错 环境 赠送 停车 小时 时间 超过 小时 小时 早餐 适合 全家 出行,"[(12, 0.9419612)]",12
住得很舒适，服务也很周到，前台姐姐人很好，每天卫生还可以选择是否需要清理～下次如果来长沙玩考虑来续住,舒适 周到 前台 姐姐 卫生 选择 清理 来续,"[(12, 0.89681286)]",12
房间非常宽敞，屋里也很干净，超出了我的预知。里面家电齐全，窗外的视野也很开阔，拉开窗帘就是绿水青山。离地铁站也不远，上哪都方便！,房间 宽敞 干净 超出 预知 视野 开阔 拉开 窗帘 地铁站,"[(10, 0.18171448), (12, 0.74035114)]",12
比想象中差点，总有种不安全的感觉，可能看我们没经验给我们开的尾房，在我们要求下才换了房间，其他没有什么问题,想象 差点 感觉 经验 尾房 房间,"[(0, 0.010205984), (1, 0.010205969), (2, 0.010205996), (3, 0.010205972), (4, 0.0102060065), (5, 0.010205977), (6, 0.01020597), (7, 0.010205975), (8, 0.010206001), (9, 0.010205992), (10, 0.010205982), (11, 0.010206018), (12, 0.86732215), (13, 0.010206002)]",12
入住民宿看起来很舒适，房间物品齐全，冰箱洗衣机最基础的家用家电都有，还可以免费停车哦。忘记拍图片了，下次还来入住的。,入住 民宿 舒适 房间 物品 冰箱 洗衣机 基础 家用 停车 忘记 图片 入住,"[(0, 0.933669)]",0
总体不错，不过房间内设施和图片还有点距离，自驾需注意，酒店免12小时停车费，超出时间停车费还是小贵的,总体 不错 房间内 设施 图片 距离 自驾 需注意 酒店 小时 停车费 超出 时间 停车费,"[(13, 0.9380893)]",13
房间内部设施齐全非常赞，感觉很适合做单身公寓，就是周边吃早饭不方便，床垫有点脏直接拿掉没用了。,房间 设施 感觉 适合 单身公寓 早饭 床垫 拿掉 没用,"[(12, 0.90712976)]",12
设施：非常好，冰箱洗衣机投影仪都很好用 卫生：每天都会询问是否需要打扫卫生 环境：很棒，环境很舒适,设施 冰箱 洗衣机 投影仪 好用 卫生 询问 环境 很棒 环境 舒适,"[(8, 0.30973542), (11, 0.6188289)]",11
很不错 听说长沙很多名宿都跟图片不一样 但这个完全没有踩雷 跟图片一模一样 住着也很舒服,不错 听说 名宿 图片 图片 舒服,"[(0, 0.010204756), (1, 0.01020474), (2, 0.010204742), (3, 0.010204757), (4, 0.010204764), (5, 0.01020475), (6, 0.010204808), (7, 0.86733806), (8, 0.010204756), (9, 0.010204753), (10, 0.010204752), (11, 0.010204765), (12, 0.010204764), (13, 0.0102047855)]",7
各方面都还行 就是楼道有些地方没灯 晚上会害怕哈哈 不过性价比很高。,还行 楼道 地方 没灯 害怕 性价比,"[(0, 0.010204832), (1, 0.010204835), (2, 0.010204828), (3, 0.0102048395), (4, 0.010204834), (5, 0.010204865), (6, 0.8673371), (7, 0.010204825), (8, 0.01020483), (9, 0.010204833), (10, 0.010204835), (11, 0.010204825), (12, 0.010204845), (13, 0.010204829)]",6
环境卫生都不错，一米五大床很舒服。淋浴房设施可以再提高。总之物超所值，值得入住。,环境卫生 不错 舒服 淋浴房 设施 提高 值得 入住,"[(3, 0.89681524)]",3
较新，安静，舒适，卫生，设备齐全，还送张免费停车券，是个不错的酒店。,舒适 卫生 停车 不错 酒店,"[(0, 0.8452341), (1, 0.011905009), (2, 0.01190506), (3, 0.011905087), (4, 0.011905007), (5, 0.011905076), (6, 0.011905064), (7, 0.0119050965), (8, 0.011905045), (9, 0.011905028), (10, 0.011905045), (11, 0.011905132), (12, 0.011905068), (13, 0.011905171)]",0
入住的时候忘了拍照片，房间很干净卫生，设施齐全！窗外风景不错,入住 拍照片 房间 干净 卫生 设施 风景 不错,"[(11, 0.8968201)]",11
家人们！去住啊！飘窗，投影仪，洗衣机都有，还特别干净,投影仪 洗衣机 干净,"[(0, 0.017857734), (1, 0.017857699), (2, 0.017857667), (3, 0.017857723), (4, 0.017857688), (5, 0.017857643), (6, 0.017857632), (7, 0.01785765), (8, 0.017857697), (9, 0.017857717), (10, 0.76785), (11, 0.01785774), (12, 0.017857727), (13, 0.017857727)]",10
服务很好，房间很干净，安全很好，适合一家人出游,房间 干净 适合 一家人,"[(0, 0.01428608), (1, 0.014286071), (2, 0.014286061), (3, 0.01428606), (4, 0.014286053), (5, 0.014286019), (6, 0.014286063), (7, 0.014286053), (8, 0.8142811), (9, 0.014286071), (10, 0.014286116), (11, 0.014286082), (12, 0.01428607), (13, 0.014286053)]",8
棒棒的一家酒店，还会再次入住，很推荐，性价比超高,棒棒 酒店 入住 推荐 性价比 超高,"[(0, 0.010205138), (1, 0.010205081), (2, 0.010205127), (3, 0.010205145), (4, 0.010205113), (5, 0.64459014), (6, 0.010205098), (7, 0.0102051245), (8, 0.010205163), (9, 0.01020513), (10, 0.01020512), (11, 0.23294836), (12, 0.010205131), (13, 0.010205135)]",5
很舒服的床品，房间干净整洁，很喜欢，下次过来还会入住,舒服 床品 房间 干净 整洁 喜欢 入住,"[(11, 0.8839263)]",11
希望枕头可以低一点，有点太高了。其他服务都挺好的。,希望 枕头 挺好,"[(0, 0.01785835), (1, 0.76784134), (2, 0.01785834), (3, 0.017858367), (4, 0.017858362), (5, 0.017858414), (6, 0.017858334), (7, 0.017858343), (8, 0.017858334), (9, 0.017858334), (10, 0.017858353), (11, 0.017858354), (12, 0.017858366), (13, 0.017858364)]",1
前台小姐姐人美心善，服务周到，房间环境卫生好。,前台 心善 房间 环境卫生,"[(0, 0.01428669), (1, 0.51613855), (2, 0.31242162), (3, 0.014286673), (4, 0.0142866215), (5, 0.014286624), (6, 0.014286614), (7, 0.014286691), (8, 0.014286644), (9, 0.014286688), (10, 0.014286656), (11, 0.01428665), (12, 0.014286665), (13, 0.014286635)]",1
设施：完善 卫生：干净 环境：安静 服务：热情,设施 完善 卫生 干净 环境 热情,"[(0, 0.010204213), (1, 0.010204257), (2, 0.01020423), (3, 0.010204227), (4, 0.010204217), (5, 0.010204207), (6, 0.010204219), (7, 0.010204221), (8, 0.010204218), (9, 0.010204228), (10, 0.010204212), (11, 0.8673451), (12, 0.010204241), (13, 0.0102042155)]",11
设施：新卫生：干净环境：很好服务：还好,设施 卫生 干净 环境 还好,"[(0, 0.011905439), (1, 0.011905485), (2, 0.011905523), (3, 0.011905447), (4, 0.011905432), (5, 0.011905428), (6, 0.011905421), (7, 0.011905434), (8, 0.011905445), (9, 0.0119054485), (10, 0.011905432), (11, 0.84522915), (12, 0.011905486), (13, 0.01190544)]",11
设施：很好 卫生：很好 环境：很好 服务：很好,设施 卫生 环境,"[(0, 0.017857287), (1, 0.017857378), (2, 0.017857302), (3, 0.017857287), (4, 0.017857263), (5, 0.017857278), (6, 0.017857257), (7, 0.01785728), (8, 0.0178573), (9, 0.01785729), (10, 0.017857265), (11, 0.7678552), (12, 0.017857356), (13, 0.017857289)]",11
公寓式的房间，价格便宜，洗衣服也方便，停车免费。,公寓式 房间 价格便宜 洗衣服 停车,"[(0, 0.011905908), (1, 0.011905878), (2, 0.011905891), (3, 0.011905884), (4, 0.84522337), (5, 0.011905889), (6, 0.011905906), (7, 0.011905885), (8, 0.011905904), (9, 0.01190588), (10, 0.011905941), (11, 0.011905885), (12, 0.011905896), (13, 0.011905885)]",4
房间干净卫生，大飘窗，外面就是山景，,房间 干净 卫生 山景,"[(0, 0.014286791), (1, 0.014286746), (2, 0.014286707), (3, 0.014286722), (4, 0.014286713), (5, 0.014286685), (6, 0.014286685), (7, 0.014286709), (8, 0.0142867295), (9, 0.014286722), (10, 0.0142867295), (11, 0.8142726), (12, 0.014286749), (13, 0.014286724)]",11
方间设施齐全，，环境也不错，总体来说住很舒服,方间 设施 环境 不错 总体 舒服,"[(0, 0.01020464), (1, 0.010204707), (2, 0.010204659), (3, 0.010204667), (4, 0.010204653), (5, 0.010204654), (6, 0.010204651), (7, 0.010204663), (8, 0.010204653), (9, 0.010204653), (10, 0.010204638), (11, 0.010204704), (12, 0.01020469), (13, 0.8673394)]",13
房间卫生好，周围环境好，可以看见江景,房间 卫生 江景,"[(0, 0.017857574), (1, 0.017857658), (2, 0.017857617), (3, 0.017857632), (4, 0.017857539), (5, 0.017857604), (6, 0.017857527), (7, 0.017857578), (8, 0.017857563), (9, 0.017857533), (10, 0.01785757), (11, 0.017857598), (12, 0.7678514), (13, 0.017857552)]",12
房间好，服务好，出行方便，非常满意,房间 出行 满意,"[(0, 0.01785743), (1, 0.017857376), (2, 0.017857388), (3, 0.017857423), (4, 0.4572661), (5, 0.017857349), (6, 0.3284449), (7, 0.017857421), (8, 0.017857462), (9, 0.017857388), (10, 0.017857462), (11, 0.017857404), (12, 0.017857427), (13, 0.017857466)]",4
意外之喜，房间很大，设备很新，值得推荐的！,意外 房间 很大 值得 推荐,"[(0, 0.011905314), (1, 0.011905338), (2, 0.011905294), (3, 0.011905302), (4, 0.011905283), (5, 0.011905269), (6, 0.011905269), (7, 0.011905301), (8, 0.011905328), (9, 0.011905311), (10, 0.8452311), (11, 0.011905283), (12, 0.011905307), (13, 0.011905276)]",10
房间真的很新，环境不错，慢干净的,房间 环境 不错 干净,"[(0, 0.014285827), (1, 0.01428586), (2, 0.014285819), (3, 0.014285845), (4, 0.014285817), (5, 0.0142858075), (6, 0.014285815), (7, 0.014285829), (8, 0.014285845), (9, 0.014285837), (10, 0.014285836), (11, 0.81428415), (12, 0.0142858485), (13, 0.014285863)]",11
除了卫生间有点容易积水，其他没有任何问题,卫生间 积水,"[(0, 0.02381546), (1, 0.02381546), (2, 0.690396), (3, 0.023815678), (4, 0.023815582), (5, 0.02381546), (6, 0.023816155), (7, 0.023815885), (8, 0.023815865), (9, 0.02381546), (10, 0.023815975), (11, 0.023815721), (12, 0.023815736), (13, 0.023815565)]",2
还不错，挺干净的，房间大小一般般。,不错 干净 房间,"[(0, 0.017857306), (1, 0.01785732), (2, 0.017857276), (3, 0.017857324), (4, 0.017857293), (5, 0.017857246), (6, 0.017857268), (7, 0.01785729), (8, 0.017857319), (9, 0.017857315), (10, 0.01785732), (11, 0.017857354), (12, 0.017857317), (13, 0.76785505)]",13
睡了一晚就过敏了，服务态度也很一般。,服务态度,"[(0, 0.03571478), (1, 0.03571512), (2, 0.035714913), (3, 0.03571489), (4, 0.035714827), (5, 0.03571475), (6, 0.03571475), (7, 0.035714876), (8, 0.035714947), (9, 0.03571482), (10, 0.5357069), (11, 0.03571481), (12, 0.03571475), (13, 0.03571485)]",10
很干净 ，很方便，服务超好,干净 超好,"[(0, 0.0238106), (1, 0.023810603), (2, 0.023810608), (3, 0.6904626), (4, 0.023810552), (5, 0.023810586), (6, 0.023810504), (7, 0.023810612), (8, 0.02381055), (9, 0.023810588), (10, 0.023810545), (11, 0.023810565), (12, 0.023810564), (13, 0.023810545)]",3
房间宽敞通透。适合出差旅行。,房间 宽敞 适合 出差,"[(0, 0.8142813), (1, 0.014286042), (2, 0.014286069), (3, 0.014286047), (4, 0.01428605), (5, 0.014286018), (6, 0.014286075), (7, 0.014286069), (8, 0.014286084), (9, 0.0142860515), (10, 0.014286078), (11, 0.014286047), (12, 0.014286062), (13, 0.01428606)]",0
房间很干净，服务态度很好,房间 干净 服务态度,"[(0, 0.017857337), (1, 0.017857421), (2, 0.017857322), (3, 0.017857358), (4, 0.017857337), (5, 0.017857278), (6, 0.017857289), (7, 0.017857326), (8, 0.01785736), (9, 0.01785735), (10, 0.7678546), (11, 0.01785735), (12, 0.017857341), (13, 0.017857341)]",10
全程自助入住，还挺方便的。,全程 自助 入住,"[(0, 0.017858028), (1, 0.017857991), (2, 0.017857952), (3, 0.017858252), (4, 0.01785801), (5, 0.017858053), (6, 0.017858004), (7, 0.017857984), (8, 0.017857948), (9, 0.017858058), (10, 0.017857967), (11, 0.017857976), (12, 0.76784575), (13, 0.017858008)]",12
卫生：不错 环境：不错 服务：好,卫生 不错 环境 不错,"[(0, 0.014285808), (1, 0.014285841), (2, 0.014285815), (3, 0.014285831), (4, 0.014285788), (5, 0.014285811), (6, 0.014285811), (7, 0.014285825), (8, 0.01428583), (9, 0.014285821), (10, 0.014285795), (11, 0.8142843), (12, 0.014285843), (13, 0.014285877)]",11
很干净  出行住的最舒服的一次,干净 出行,"[(0, 0.023809956), (1, 0.023810156), (2, 0.02380988), (3, 0.023810104), (4, 0.023809997), (5, 0.023809822), (6, 0.69047), (7, 0.023809953), (8, 0.023810022), (9, 0.02381012), (10, 0.023809962), (11, 0.023810035), (12, 0.023810035), (13, 0.02380997)]",6
非常棒，朋友亲子出游非常方便！,朋友 亲子,"[(0, 0.023810534), (1, 0.023810325), (2, 0.02381039), (3, 0.023810424), (4, 0.023810398), (5, 0.023810325), (6, 0.023810325), (7, 0.023810377), (8, 0.02381037), (9, 0.023810474), (10, 0.02381034), (11, 0.023810398), (12, 0.6904649), (13, 0.023810407)]",12
环境卫生都很好，很喜欢,环境卫生 喜欢,"[(0, 0.02381015), (1, 0.69046915), (2, 0.023810064), (3, 0.02381006), (4, 0.023810036), (5, 0.023810038), (6, 0.023810009), (7, 0.02381005), (8, 0.023810111), (9, 0.023810007), (10, 0.023810046), (11, 0.023810165), (12, 0.023810074), (13, 0.023810007)]",1
前台小姐姐很给力，有事都会回应,前台 回应,"[(0, 0.02381093), (1, 0.023810918), (2, 0.023811145), (3, 0.023810945), (4, 0.023810908), (5, 0.023810944), (6, 0.023810908), (7, 0.69045764), (8, 0.023810908), (9, 0.023810968), (10, 0.023810918), (11, 0.023810923), (12, 0.023810951), (13, 0.023810958)]",7
设施：还可以 卫生：还可以,设施 卫生,"[(0, 0.023809744), (1, 0.023809832), (2, 0.023809753), (3, 0.023809716), (4, 0.023809694), (5, 0.023809684), (6, 0.023809668), (7, 0.023809709), (8, 0.023809737), (9, 0.023809724), (10, 0.023809697), (11, 0.6904735), (12, 0.023809832), (13, 0.023809735)]",11
真心不错，干净卫生，性价比高,不错 干净 卫生 性价比,"[(0, 0.0142859705), (1, 0.014285996), (2, 0.014285973), (3, 0.014285985), (4, 0.0142859705), (5, 0.014286069), (6, 0.014286014), (7, 0.014285972), (8, 0.014285975), (9, 0.014286018), (10, 0.01428596), (11, 0.81428194), (12, 0.014286032), (13, 0.014286066)]",11
我住得非常的满意，环境也很好,满意 环境,"[(0, 0.023809887), (1, 0.02381023), (2, 0.023809938), (3, 0.023809973), (4, 0.69047016), (5, 0.023809975), (6, 0.023809891), (7, 0.023809928), (8, 0.023809984), (9, 0.02380995), (10, 0.0238099), (11, 0.023810096), (12, 0.023810063), (13, 0.02381)]",4
吹爆，住过性价比最高的酒店,性价比 酒店,"[(0, 0.023809765), (1, 0.023809735), (2, 0.023809811), (3, 0.023809796), (4, 0.023809757), (5, 0.69047266), (6, 0.023809938), (7, 0.023809832), (8, 0.023809748), (9, 0.02380977), (10, 0.023809817), (11, 0.02380978), (12, 0.02380981), (13, 0.023809789)]",5
房间很大，配套不错，出行方便,房间 很大 配套 不错 出行,"[(0, 0.011905011), (1, 0.011904992), (2, 0.011904984), (3, 0.011904996), (4, 0.011904988), (5, 0.01190498), (6, 0.8452348), (7, 0.011904995), (8, 0.011905006), (9, 0.011905007), (10, 0.011905011), (11, 0.011905018), (12, 0.011905003), (13, 0.011905167)]",6
